str_Neighborhood,str_Status: Active (count),str_Status: Expired (count),str_Status: Inactive (count),str_Status: Revoked (count),str_Status: Void (count),str_Count open violations,str_Count violations/past 6 mos.
Allston,25,0,31,0,16,40,3
Back Bay,26,0,23,0,10,40,2
Bay Village,10,0,9,0,2,46,0
Beacon Hill,39,0,54,0,5,19,13
Brighton,43,2,50,0,12,4,6
Charlestown,47,0,30,0,10,25,14
Chinatown,4,0,9,0,1,1,5
Dorchester,129,1,106,0,27,83,19
Downtown,22,1,20,0,7,5,3
East Boston,79,0,83,0,27,132,7
Fenway,17,0,19,0,1,4,7
Hyde Park,16,3,11,0,9,6,0
Jamaica Plain,127,1,73,0,30,17,9
Leather District,2,0,2,0,0,1,0
Longwood Medical Area,0,0,1,0,0,0,0
Mattapan,17,0,20,0,10,41,0
Mission Hill,12,0,23,0,5,19,3
North End,18,0,26,0,8,88,22
Roslindale,34,0,25,0,6,9,0
Roxbury,74,0,68,0,20,136,44
South Boston,86,1,56,1,20,81,27
South Boston Waterfront,0,0,5,0,0,0,0
South End,89,0,92,0,25,26,15
West End,2,0,2,0,2,0,0
West Roxbury,25,1,18,0,2,1,2
